"att1";"date";"quarter";"department";"day";"team";"targeted_productivity";"smv";"wip";"over_time";"hsu";"incentive";"idle_time";"idle_men";"no_of_style_change";"no_of_workers";"work_cond_f1";"work_cond_f2";"work_cond_f3";"work_cond_f4";"work_cond_f5";"actual_productivity"
17;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";14;0.75;22.94;1636.0;10530.0;7.95;81.0;0.0;0.0;0.0;58.5;0.10503409286570109;63.095111708860294;868.012992223399;63.200145801725995;868.1180263162647;0.212555944
18;1/20/15 12:00 AM;"Quarter3";"finishing ";"Tuesday";11;0.7;4.15;1186.417033773862;2700.0;11.24;0.0;0.0;0.0;0.0;15.0;0.12400001919789139;58.357082017336644;940.9103746108401;58.48108203653454;941.034374630038;0.36266666700000005
19;2/16/15 12:00 AM;"Quarter3";"sweing";"Monday";11;0.7;11.41;680.0;2160.0;0.05;30.0;0.0;0.0;2.0;54.0;0.06914481860778243;34.964391069046485;862.3274538391004;35.03353588765427;862.3965986577082;0.5659722220000001
20;1/8/15 12:00 AM;"Quarter2";"sweing";"Thursday";9;0.8;26.16;1216.0;10620.0;0.81;88.0;0.0;0.0;0.0;59.0;0.37651095768330545;42.40616255024478;973.3851034135423;42.78267350792809;973.7616143712256;0.9002157159999999
21;1/1/15 12:00 AM;"Quarter1";"sweing";"Thursday";1;0.75;28.08;681.0;6900.0;4.86;45.0;0.0;0.0;0.0;57.5;0.9849452884554759;55.567738469748086;894.6410768789989;56.552683758203564;895.6260221674544;0.7504278259999999
22;2/8/15 12:00 AM;"Quarter2";"sweing";"Sunday";9;0.8;29.12;909.0;6960.0;9.82;50.0;0.0;0.0;0.0;58.0;0.5330662641358389;51.293505779123336;915.198931593902;51.826572043259176;915.7319978580379;0.7999632179999999
23;2/24/15 12:00 AM;"Quarter4";"finishing";"Tuesday";9;0.7;2.9;1186.417033773862;1800.0;4.1;0.0;0.0;0.0;0.0;15.0;0.5617124192452947;47.65120171385668;942.0434430423915;48.212914133101975;942.6051554616367;0.726933333
24;2/11/15 12:00 AM;"Quarter2";"sweing";"Wednesday";9;0.8;29.12;609.0;3240.0;5.13;50.0;0.0;0.0;0.0;58.0;0.47792817992285486;35.85463795608095;876.8195301211291;36.332566136003805;877.297458301052;0.8001441440000001
25;1/17/15 12:00 AM;"Quarter3";"sweing";"Saturday";3;0.6;22.52;1140.0;10170.0;0.0;30.0;0.0;0.0;0.0;56.5;0.4849984505970377;62.83880238957546;937.3053240816507;63.3238008401725;937.7903225322477;0.600291767
26;1/31/15 12:00 AM;"Quarter5";"finishing ";"Saturday";5;0.7;3.94;1186.417033773862;240.0;7.33;0.0;0.0;0.0;0.0;2.0;0.9261646150306484;55.278675658113045;853.8505748781051;56.204840273143695;854.7767394931358;0.971866667
27;3/1/15 12:00 AM;"Quarter1";"finishing";"Sunday";10;0.7;2.9;1186.417033773862;3360.0;7.34;0.0;0.0;0.0;0.0;8.0;0.5937324343892108;40.71460944455434;881.3318582556869;41.30834187894355;881.9255906900762;0.6645833329999999
28;3/3/15 12:00 AM;"Quarter1";"sweing";"Tuesday";3;0.8;29.4;1156.0;6840.0;6.7;50.0;0.0;0.0;0.0;57.0;0.9744702377239757;65.40101878909175;916.2017642704466;66.37548902681573;917.1762345081705;0.800333333
29;2/25/15 12:00 AM;"Quarter4";"sweing";"Wednesday";5;0.8;30.1;15.0;1200.0;5.45;49.0;0.0;0.0;1.0;59.0;0.3308332557276701;54.47589752376734;829.9722557811114;54.806730779495005;830.3030890368391;0.598792339
30;1/26/15 12:00 AM;"Quarter4";"finishing ";"Monday";14;0.7;3.94;1186.417033773862;1800.0;3.87;0.0;0.0;0.0;0.0;10.0;0.20079521717455573;54.34505848157515;855.4422431149785;54.54585369874971;855.6430383321531;0.22759469699999998
31;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";3;0.75;22.52;1495.0;10350.0;6.31;55.0;0.0;0.0;0.0;57.5;0.5542234029378996;51.20602066804963;908.9391011553586;51.76024407098753;909.4933245582964;0.800513307
32;2/15/15 12:00 AM;"Quarter3";"finishing";"Sunday";6;0.8;2.9;1186.417033773862;960.0;2.35;0.0;0.0;0.0;0.0;8.0;0.4192488951359875;82.82955179986331;905.1332685900961;83.2488006949993;905.5525174852321;0.604166667
33;2/17/15 12:00 AM;"Quarter3";"finishing";"Tuesday";6;0.8;2.9;1186.417033773862;960.0;7.23;0.0;0.0;0.0;0.0;8.0;0.06460130351993332;91.34165147083687;931.9730800659265;91.4062527743568;932.0376813694464;0.749166667
34;1/29/15 12:00 AM;"Quarter5";"finishing ";"Thursday";1;0.75;3.94;1186.417033773862;1200.0;6.2;0.0;0.0;0.0;0.0;10.0;0.24896139161703223;66.16636490187126;989.0293199251088;66.41532629348829;989.2782813167258;0.853666667
35;1/17/15 12:00 AM;"Quarter3";"finishing ";"Saturday";8;0.8;2.9;1186.417033773862;1440.0;7.64;0.0;0.0;0.0;0.0;8.0;0.8210156894698855;69.76542313682917;894.427614737981;70.58643882629906;895.2486304274508;0.675568182
36;1/15/15 12:00 AM;"Quarter3";"finishing ";"Thursday";8;0.8;2.9;1186.417033773862;1440.0;7.14;0.0;0.0;0.0;0.0;8.0;0.18797663996704328;29.50656845841979;798.6649924981044;29.694545098386833;798.8529691380714;0.606912879
37;2/18/15 12:00 AM;"Quarter3";"finishing";"Wednesday";2;0.8;5.13;1186.417033773862;1440.0;1.0;0.0;0.0;0.0;0.0;12.0;0.6607457758422358;55.36755910019427;876.2361732476598;56.02830487603651;876.896919023502;0.919125
38;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";8;0.5;15.09;1557.0;720.0;6.67;23.0;0.0;0.0;0.0;52.0;0.31898899731877617;57.43929214595911;858.956112478342;57.758281143277884;859.2751014756608;0.500061916
39;1/12/15 12:00 AM;"Quarter2";"sweing";"Monday";2;0.8;28.08;737.0;10530.0;3.02;63.0;0.0;0.0;0.0;58.5;0.1485011052001386;41.425382500410194;901.4548306949807;41.573883605610334;901.6033318001809;0.8
40;3/8/15 12:00 AM;"Quarter2";"sweing";"Sunday";6;0.6;23.41;1266.0;2520.0;6.69;23.0;0.0;0.0;1.0;38.0;0.5244797945204867;45.235399389331235;908.9119868293155;45.75987918385172;909.436466623836;0.601037091
41;1/3/15 12:00 AM;"Quarter1";"sweing";"Saturday";14;0.75;19.87;944.0;6600.0;0.99;45.0;0.0;0.0;0.0;55.0;0.2930897723889022;52.63997511014935;875.816110915219;52.933064882538254;876.109200687608;0.1875607575
42;1/7/15 12:00 AM;"Quarter1";"finishing ";"Wednesday";14;0.8;3.94;1186.417033773862;1440.0;5.97;0.0;0.0;0.0;0.0;8.0;0.451277600317157;40.32884530857782;856.5410480258548;40.780122908894974;856.992325626172;0.23785511375
43;1/8/15 12:00 AM;"Quarter2";"finishing ";"Thursday";14;0.8;3.94;1186.417033773862;1440.0;4.72;0.0;0.0;0.0;0.0;8.0;0.0963952605243592;32.6927552402006;882.9010637283452;32.78915050072496;882.9974589888695;0.20893939399999997
44;2/28/15 12:00 AM;"Quarter4";"sweing";"Saturday";3;0.75;29.4;1144.0;4440.0;9.33;45.0;0.0;0.0;2.0;57.0;0.41371167251452545;28.609408404098513;859.2681179382887;29.02312007661304;859.6818296108032;0.750716981
45;2/15/15 12:00 AM;"Quarter3";"finishing";"Sunday";1;0.8;3.94;1186.417033773862;960.0;4.72;0.0;0.0;0.0;0.0;8.0;0.015283812337505642;30.130030661766863;865.9801895167386;30.145314474104367;865.9954733290762;1.1204375
46;1/19/15 12:00 AM;"Quarter3";"finishing ";"Monday";11;0.7;4.15;1186.417033773862;1440.0;9.78;0.0;0.0;0.0;0.0;8.0;0.36018878964239776;42.622999797976156;845.1653566428704;42.98318858761856;845.5255454325128;0.409545455
47;1/25/15 12:00 AM;"Quarter4";"sweing";"Sunday";1;0.7;22.94;1682.0;10530.0;3.55;75.0;0.0;0.0;0.0;58.5;0.6954780770641324;40.61984783963497;892.5653577674398;41.3153259166991;893.2608358445038;0.8009096090000001
48;3/10/15 12:00 AM;"Quarter2";"sweing";"Tuesday";4;0.75;26.82;1104.0;5880.0;3.29;65.0;0.0;0.0;0.0;59.0;0.7846117516029685;46.706782861032465;864.0040681253913;47.49139461263543;864.7886798769943;0.850084211
49;3/1/15 12:00 AM;"Quarter1";"finishing";"Sunday";4;0.6;3.94;1186.417033773862;960.0;4.25;0.0;0.0;0.0;0.0;8.0;0.5142589685037;63.209619191407896;859.9555213224077;63.72387815991159;860.4697802909113;0.673083333
50;3/9/15 12:00 AM;"Quarter2";"sweing";"Monday";13;0.8;15.26;1132.0;4080.0;6.93;63.0;0.0;0.0;0.0;34.0;0.4944712229522388;85.34623195711569;951.4600915314936;85.84070318006793;951.9545627544459;0.999999
51;1/13/15 12:00 AM;"Quarter2";"sweing";"Tuesday";11;0.7;27.13;530.0;9540.0;4.68;37.0;0.0;0.0;0.0;53.0;0.9790989263636556;47.35728057243109;797.2409183353896;48.33637949879474;798.2200172617532;0.582301029
52;3/3/15 12:00 AM;"Quarter1";"finishing";"Tuesday";14;0.7;3.94;1186.417033773862;3360.0;4.13;0.0;0.0;0.0;0.0;8.0;0.6054383710223522;43.68889293960985;866.0984426995402;44.2943313106322;866.7038810705626;0.138857639
53;1/11/15 12:00 AM;"Quarter2";"finishing ";"Sunday";9;0.8;3.94;1186.417033773862;1440.0;6.39;0.0;0.0;0.0;0.0;8.0;0.21327634633300885;31.334811647326852;764.897246395523;31.54808799365986;765.110522741856;0.8581439390000001
54;3/5/15 12:00 AM;"Quarter1";"sweing";"Thursday";1;0.7;26.82;1373.0;6960.0;5.95;50.0;0.0;0.0;0.0;58.0;0.8145197850936511;46.78372619248685;859.9150617252052;47.598245977580504;860.7295815102989;0.750651724
55;2/9/15 12:00 AM;"Quarter2";"finishing";"Monday";14;0.8;3.94;1186.417033773862;1200.0;0.0;0.0;0.0;0.0;0.0;10.0;0.5828355433655678;49.56436779527018;886.8670744970349;50.14720333863575;887.4499100404005;0.24050416675
56;3/9/15 12:00 AM;"Quarter2";"sweing";"Monday";9;0.75;18.79;1193.0;6240.0;4.77;45.0;0.0;0.0;0.0;52.0;0.24390697811154216;18.20914674806532;869.4751772416336;18.45305372617686;869.7190842197451;0.750395513
57;3/10/15 12:00 AM;"Quarter2";"sweing";"Tuesday";14;0.7;16.1;957.0;5400.0;8.08;40.0;0.0;0.0;1.0;45.0;0.1035516206943271;55.29024849978519;863.7366896699556;55.39380012047952;863.8402412906499;0.175012963
58;2/15/15 12:00 AM;"Quarter3";"sweing";"Sunday";5;0.8;30.1;679.0;7140.0;7.17;0.0;0.0;0.0;0.0;59.5;0.5212625416873583;65.67888860510385;846.207238658928;66.20015114679121;846.7285012006154;0.722568627
59;2/16/15 12:00 AM;"Quarter3";"sweing";"Monday";10;0.6;18.22;1131.0;5280.0;1.63;0.0;0.0;0.0;1.0;44.0;0.5991676066659105;71.30551370115299;858.9896663853665;71.9046813078189;859.5888339920324;0.35542803
60;2/10/15 12:00 AM;"Quarter2";"finishing";"Tuesday";8;0.35;4.15;1186.417033773862;960.0;12.93;0.0;0.0;0.0;0.0;8.0;0.9244479278348032;37.14719946491404;881.8109679676953;38.071647392748844;882.7354158955301;0.703770833
61;2/28/15 12:00 AM;"Quarter4";"sweing";"Saturday";8;0.75;29.4;792.0;4560.0;5.14;56.0;0.0;0.0;2.0;58.0;0.9376771881528284;21.401440973544982;898.6345812162388;22.33911816169781;899.5722584043916;0.7504259259999999
62;3/9/15 12:00 AM;"Quarter2";"finishing";"Monday";3;0.8;4.6;1186.417033773862;0.0;5.22;1440.0;0.0;0.0;0.0;12.0;0.09805489180993665;41.39860756418535;862.5962970044998;41.496662455995285;862.6943518963097;0.795416667
63;1/24/15 12:00 AM;"Quarter4";"sweing";"Saturday";10;0.75;22.52;1332.0;10080.0;5.91;69.0;0.0;0.0;0.0;56.0;0.5369588962778001;50.94284982251049;887.8300330198755;51.47980871878829;888.3669919161533;0.80062987
64;1/21/15 12:00 AM;"Quarter3";"sweing";"Wednesday";10;0.7;22.52;1206.0;10080.0;2.56;75.0;0.0;0.0;0.0;56.0;0.7972766648250613;48.820871303258414;911.4473462971641;49.61814796808348;912.2446229619892;0.800020563
65;3/11/15 12:00 AM;"Quarter2";"finishing";"Wednesday";5;0.7;3.94;1186.417033773862;1440.0;3.64;0.0;0.0;0.0;0.0;12.0;0.042107381211116346;59.46399486185004;842.8599516195181;59.50610224306116;842.9020590007293;0.75885
66;1/8/15 12:00 AM;"Quarter2";"finishing ";"Thursday";8;0.8;2.9;1186.417033773862;1440.0;2.55;0.0;0.0;0.0;0.0;8.0;0.8412422423708263;50.212812197732795;934.3171109073469;51.05405444010362;935.1583531497178;0.735984848
67;3/4/15 12:00 AM;"Quarter1";"sweing";"Wednesday";3;0.8;29.4;1169.0;6840.0;3.96;63.0;0.0;0.0;0.0;57.0;0.40196742487829307;34.19380665998724;904.3126637386129;34.59577408486553;904.7146311634912;0.800333333
68;2/11/15 12:00 AM;"Quarter2";"finishing";"Wednesday";5;0.7;4.15;1186.417033773862;240.0;10.41;0.0;0.0;0.0;0.0;2.0;0.6334105535007725;55.700461391173576;905.9182760811176;56.33387194467435;906.5516866346184;0.87
69;3/8/15 12:00 AM;"Quarter2";"finishing";"Sunday";9;0.75;2.9;1186.417033773862;1080.0;1.79;0.0;0.0;0.0;0.0;9.0;0.3269730310065033;45.17349297213627;875.5675082352087;45.500466003142776;875.8944812662153;0.9290740740000001
70;2/9/15 12:00 AM;"Quarter2";"finishing";"Monday";12;0.8;4.08;1186.417033773862;1080.0;6.96;0.0;0.0;0.0;0.0;9.0;0.2674231182724408;41.492957431346085;872.6271039377589;41.760380549618525;872.8945270560313;0.272
71;2/19/15 12:00 AM;"Quarter3";"finishing";"Thursday";5;0.75;5.13;1186.417033773862;1920.0;4.55;0.0;0.0;0.0;0.0;8.0;0.3717164250152668;54.188821098408106;884.6987361658514;54.56053752342337;885.0704525908667;0.631354167
72;2/28/15 12:00 AM;"Quarter4";"finishing";"Saturday";9;0.75;2.9;1186.417033773862;960.0;2.75;0.0;0.0;0.0;0.0;8.0;0.05778653027788616;57.464588997754745;916.619738999914;57.52237552803263;916.6775255301919;0.4078125
73;1/28/15 12:00 AM;"Quarter4";"sweing";"Wednesday";10;0.8;22.52;1175.0;6720.0;5.16;60.0;0.0;0.0;0.0;56.0;0.44495067378686404;62.542765595279526;852.879318136082;62.98771626906639;853.3242688098688;0.850532143
74;2/11/15 12:00 AM;"Quarter2";"sweing";"Wednesday";13;0.8;15.26;854.0;4080.0;5.67;50.0;0.0;0.0;0.0;34.0;0.14571453434785708;40.51361449278468;883.206128796512;40.65932902713254;883.3518433308598;0.999999
75;1/11/15 12:00 AM;"Quarter2";"finishing ";"Sunday";5;0.5;4.15;1186.417033773862;1440.0;4.41;0.0;0.0;0.0;0.0;8.0;0.6883207735706083;48.226870474065905;900.406966575812;48.915191247636514;901.0952873493826;0.609138258
76;2/4/15 12:00 AM;"Quarter1";"sweing";"Wednesday";4;0.35;30.1;287.0;6060.0;8.06;23.0;150.0;15.0;0.0;55.5;0.029240531223764687;59.291201115328086;815.9269564898544;59.32044164655185;815.9561970210782;0.350706422
77;1/13/15 12:00 AM;"Quarter2";"sweing";"Tuesday";3;0.8;42.27;465.0;9900.0;4.91;54.0;0.0;0.0;0.0;55.0;0.5553492826811113;44.108629809956874;832.6953466983608;44.66397909263799;833.250695981042;0.705576584
78;1/18/15 12:00 AM;"Quarter3";"finishing ";"Sunday";9;0.8;3.94;1186.417033773862;1800.0;5.45;0.0;0.0;0.0;0.0;10.0;0.1467245077317546;42.97150381148539;866.826675849709;43.118228319217145;866.9734003574407;0.582045455
79;1/10/15 12:00 AM;"Quarter2";"sweing";"Saturday";14;0.8;26.16;1335.0;10620.0;5.56;63.0;0.0;0.0;0.0;59.0;0.6078736343470096;51.407769803885394;828.8321953406572;52.0156434382324;829.4400689750042;0.20002927574999999
80;2/25/15 12:00 AM;"Quarter4";"sweing";"Wednesday";14;0.65;22.53;762.0;5040.0;0.45;0.0;0.0;0.0;1.0;42.0;0.7707290958167022;47.267760379913064;914.9903463329953;48.03848947572977;915.761075428812;0.145282738
81;2/14/15 12:00 AM;"Quarter2";"sweing";"Saturday";2;0.8;22.52;674.0;3660.0;8.24;63.0;0.0;0.0;0.0;57.0;0.37836166880922517;61.803009839949766;922.7562550325588;62.18137150875899;923.134616701368;0.80037492
82;1/31/15 12:00 AM;"Quarter5";"finishing ";"Saturday";9;0.75;3.94;1186.417033773862;240.0;3.28;0.0;0.0;0.0;0.0;2.0;0.9851977689678926;37.42933734951016;814.0113026809411;38.41453511847806;814.9965004499089;0.971866667
83;1/12/15 12:00 AM;"Quarter2";"sweing";"Monday";13;0.8;11.61;760.0;4470.0;8.01;50.0;0.0;0.0;0.0;31.5;0.7991111577394218;52.9095610571821;899.3520673253793;53.70867221492153;900.1511784831187;0.999999
84;2/10/15 12:00 AM;"Quarter2";"finishing";"Tuesday";2;0.8;3.94;1186.417033773862;2160.0;3.44;0.0;0.0;0.0;0.0;18.0;0.346435748637656;15.229214396281442;805.0414967229865;15.575650144919098;805.3879324716241;0.966759259
85;2/8/15 12:00 AM;"Quarter2";"finishing";"Sunday";14;0.8;3.94;1186.417033773862;1200.0;4.55;0.0;0.0;0.0;0.0;10.0;0.7868867700493474;64.05404595267834;957.3102522359318;64.84093272272769;958.0971390059811;0.22326666675
86;1/26/15 12:00 AM;"Quarter4";"sweing";"Monday";4;0.8;22.52;1016.0;10170.0;1.6;60.0;0.0;0.0;0.0;356.5;0.08865641359317533;55.680685347627005;927.7809795591514;55.76934176122018;927.8696359727446;0.850312684
87;3/10/15 12:00 AM;"Quarter2";"finishing";"Tuesday";1;0.75;3.94;1186.417033773862;960.0;5.03;0.0;0.0;0.0;0.0;8.0;0.6213094142591192;59.409965754574046;885.4105827734884;60.03127516883316;886.0318921877475;0.880754167
88;1/8/15 12:00 AM;"Quarter2";"sweing";"Thursday";13;0.8;11.61;548.0;15120.0;4.4;63.0;0.0;0.0;0.0;31.5;0.8731808873455186;42.86280239326486;941.5813275502454;43.73598328061038;942.4545084375909;0.999999
89;1/29/15 12:00 AM;"Quarter5";"finishing ";"Thursday";14;0.75;3.94;1186.417033773862;1200.0;6.2;0.0;0.0;0.0;0.0;10.0;0.24896139161703223;66.16636490187126;989.0293199251088;66.41532629348829;989.2782813167258;0.21341666675
90;2/23/15 12:00 AM;"Quarter4";"finishing";"Monday";6;0.8;2.9;1186.417033773862;960.0;2.78;0.0;0.0;0.0;0.0;8.0;0.20536897388774655;41.536122128837626;895.3273293861719;41.74149110272537;895.5326983600596;0.3715625
91;2/4/15 12:00 AM;"Quarter1";"finishing";"Wednesday";6;0.7;2.9;1186.417033773862;960.0;4.72;0.0;0.0;0.0;0.0;8.0;0.81184184814883;38.593627214231546;919.4876918011005;39.40546906238038;920.2995336492493;0.531666667
92;2/17/15 12:00 AM;"Quarter3";"finishing";"Tuesday";9;0.8;3.94;1186.417033773862;960.0;4.38;0.0;0.0;0.0;0.0;8.0;0.4294822941368892;44.118415624701235;841.1596806495359;44.547897918838125;841.5891629436727;0.586041667
93;3/2/15 12:00 AM;"Quarter1";"sweing";"Monday";12;0.8;15.26;1035.0;4080.0;5.93;63.0;0.0;0.0;0.0;34.0;0.8629410125327991;54.193125331388636;850.4077644511057;55.05606634392144;851.2707054636385;0.8004019609999999
94;3/7/15 12:00 AM;"Quarter1";"finishing";"Saturday";5;0.35;3.94;1186.417033773862;2400.0;3.71;0.0;0.0;0.0;0.0;10.0;0.4803733766816737;48.573387535995565;829.8967224379129;49.05376091267724;830.3770958145946;0.80575
95;2/25/15 12:00 AM;"Quarter4";"sweing";"Wednesday";3;0.75;29.4;1283.0;6960.0;6.82;45.0;0.0;0.0;2.0;58.0;0.29407307790191606;47.57330206891314;811.6590671728445;47.86737514681505;811.9531402507464;0.750206897
96;1/21/15 12:00 AM;"Quarter3";"finishing ";"Wednesday";9;0.8;3.94;1186.417033773862;2400.0;3.27;0.0;0.0;0.0;0.0;8.0;0.5078276459578386;41.64445928114419;919.9266064394646;42.152286927102026;920.4344340854225;0.827147436
97;2/15/15 12:00 AM;"Quarter3";"sweing";"Sunday";8;0.7;30.1;507.0;5880.0;8.05;40.0;2.0;10.0;1.0;59.0;0.010240527325997562;29.127649232589807;918.910673465332;29.137889759915804;918.920913992658;0.7005730990000001
98;2/1/15 12:00 AM;"Quarter1";"sweing";"Sunday";3;0.8;22.52;1124.0;6840.0;7.4;100.0;0.0;0.0;0.0;57.0;0.21316424040397886;8.53449845977618;843.404118567636;8.74766270018016;843.61728280804;0.950185965
99;1/14/15 12:00 AM;"Quarter2";"sweing";"Wednesday";14;0.8;26.16;1092.0;10620.0;4.24;63.0;0.0;0.0;0.0;59.0;0.03235568475621087;38.897612157036264;909.2401419416306;38.929967841792475;909.2724976263868;0.20002927574999999
100;3/9/15 12:00 AM;"Quarter2";"finishing";"Monday";12;0.8;4.6;1186.417033773862;0.0;0.56;1080.0;0.0;0.0;0.0;9.0;0.7624766630067794;52.58930393542445;811.9438455198015;53.351780598431226;812.7063221828082;0.902962963
101;2/7/15 12:00 AM;"Quarter1";"sweing";"Saturday";2;0.8;22.52;1186.0;6900.0;5.48;113.0;0.0;0.0;0.0;58.0;0.5393069311736246;37.72438162152424;814.3396293431638;38.263688552697865;814.8789362743374;1.000018551
102;1/15/15 12:00 AM;"Quarter3";"sweing";"Thursday";4;0.65;22.52;872.0;10080.0;3.28;26.0;0.0;0.0;0.0;56.0;0.7435612231098858;52.16552989554639;885.6056787062018;52.90909111865628;886.3492399293117;0.650130952
103;2/4/15 12:00 AM;"Quarter1";"finishing ";"Wednesday";13;0.8;4.08;1186.417033773862;1080.0;10.64;0.0;0.0;0.0;0.0;9.0;0.29583751166660766;34.686191681948024;858.6114064865051;34.98202919361463;858.9072439981717;0.999999
104;1/19/15 12:00 AM;"Quarter3";"sweing";"Monday";10;0.7;22.52;938.0;10080.0;7.82;63.0;0.0;0.0;0.0;56.0;0.8510423038391305;42.934700059484456;900.465672623897;43.785742363323585;901.3167149277361;0.750057359
105;3/11/15 12:00 AM;"Quarter2";"finishing";"Wednesday";7;0.65;3.9;1186.417033773862;4454.26839464883;4.953645484949831;38.62207357859532;0.7228260869565217;0.31521739130434784;0.13377926421404682;36.362876254180605;0.30388844552682837;29.599727390621943;851.8646945760564;29.90361583614877;852.1685830215832;0.6782649673741646
106;2/23/15 12:00 AM;"Quarter4";"sweing";"Monday";9;0.7;18.79;1641.0;6000.0;8.4;40.0;0.0;0.0;1.0;50.0;0.8596779555690444;50.770599652319866;860.594046341845;51.630277607888914;861.453724297414;0.60128
107;1/5/15 12:00 AM;"Quarter1";"finishing ";"Monday";2;0.8;3.94;1186.417033773862;960.0;9.89;0.0;0.0;0.0;0.0;8.0;0.7922125943012042;53.12909097488191;887.6279627855101;53.92130356918312;888.4201753798113;0.804416667
108;2/15/15 12:00 AM;"Quarter3";"finishing";"Sunday";14;0.8;3.94;1186.417033773862;960.0;4.72;0.0;0.0;0.0;0.0;8.0;0.015283812337505642;30.130030661766863;865.9801895167386;30.145314474104367;865.9954733290762;0.280109375
